venue,phase,runs_c,balls,run_rate,boundary_rate,wickets,pitch_type
M Chinnaswamy Stadium,Middle,8675,6623,7.86,15.42,280,"🏏 Batting Paradise (Fast outfield, small boundaries)"
M Chinnaswamy Stadium,Powerplay,5545,4623,7.2,18.34,188,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"M Chinnaswamy Stadium, Bengaluru",Death,2091,1199,10.46,24.02,104,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"M Chinnaswamy Stadium, Bengaluru",Middle,3942,2561,9.24,19.33,118,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"M Chinnaswamy Stadium, Bengaluru",Powerplay,2576,1728,8.94,23.32,75,"🏏 Batting Paradise (Fast outfield, small boundaries)"
M.Chinnaswamy Stadium,Death,1442,798,10.84,24.06,70,"🏏 Batting Paradise (Fast outfield, small boundaries)"
M.Chinnaswamy Stadium,Middle,2070,1512,8.21,15.48,60,"🏏 Batting Paradise (Fast outfield, small boundaries)"
M.Chinnaswamy Stadium,Powerplay,1438,1058,8.16,22.12,49,"🏏 Batting Paradise (Fast outfield, small boundaries)"
MA Chidambaram Stadium,Death,678,446,9.12,17.71,26,"🌀 Slower Pitch (Spinner friendly, low bounce)"
MA Chidambaram Stadium,Middle,1025,972,6.33,9.98,40,"🌀 Slower Pitch (Spinner friendly, low bounce)"
MA Chidambaram Stadium,Powerplay,759,648,7.03,17.59,34,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"MA Chidambaram Stadium, Chepauk",Death,4078,2711,9.03,17.37,233,⚖️ Balanced Pitch (Standard bounce & boundaries)
"MA Chidambaram Stadium, Chepauk",Middle,6242,5175,7.24,11.98,207,⚖️ Balanced Pitch (Standard bounce & boundaries)
"MA Chidambaram Stadium, Chepauk",Powerplay,4353,3465,7.54,18.96,123,⚖️ Balanced Pitch (Standard bounce & boundaries)
"MA Chidambaram Stadium, Chepauk, Chennai",Death,3269,2184,8.98,18.91,197,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"MA Chidambaram Stadium, Chepauk, Chennai",Middle,5345,4372,7.34,12.24,208,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"MA Chidambaram Stadium, Chepauk, Chennai",Powerplay,4161,2964,8.42,22.0,111,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Death,766,462,9.95,20.35,45,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Middle,1319,1045,7.57,13.97,63,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Powerplay,983,720,8.19,21.53,36,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Death,684,392,10.47,24.23,29,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Middle,1214,756,9.63,19.71,39,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Powerplay,979,504,11.65,32.94,13,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Maharashtra Cricket Association Stadium,Death,1907,1154,9.92,20.8,95,⚖️ Balanced Pitch (Standard bounce & boundaries)
Maharashtra Cricket Association Stadium,Middle,2879,2358,7.33,12.34,93,⚖️ Balanced Pitch (Standard bounce & boundaries)
Maharashtra Cricket Association Stadium,Powerplay,1998,1584,7.57,19.19,70,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Maharashtra Cricket Association Stadium, Pune",Death,1119,683,9.83,21.38,59,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Maharashtra Cricket Association Stadium, Pune",Middle,1792,1394,7.71,14.71,80,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Maharashtra Cricket Association Stadium, Pune",Powerplay,1069,936,6.85,16.03,36,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Narendra Modi Stadium, Ahmedabad",Death,3510,2069,10.18,22.09,185,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Narendra Modi Stadium, Ahmedabad",Middle,6260,4374,8.59,16.9,202,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Narendra Modi Stadium, Ahmedabad",Powerplay,4185,2952,8.51,22.29,126,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Nehru Stadium,Death,324,216,9.0,18.98,25,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Nehru Stadium,Middle,612,540,6.8,11.67,17,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Nehru Stadium,Powerplay,368,360,6.13,15.83,20,"🌀 Slower Pitch (Spinner friendly, low bounce)"
New Wanderers Stadium,Death,629,439,8.6,14.81,34,"🌀 Slower Pitch (Spinner friendly, low bounce)"
New Wanderers Stadium,Middle,935,864,6.49,9.14,31,"🌀 Slower Pitch (Spinner friendly, low bounce)"
New Wanderers Stadium,Powerplay,640,576,6.67,17.53,26,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Newlands,Death,422,299,8.47,16.39,29,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Newlands,Middle,743,673,6.62,10.85,37,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Newlands,Powerplay,564,507,6.67,16.96,27,"🌀 Slower Pitch (Spinner friendly, low bounce)"
OUTsurance Oval,Death,147,115,7.67,13.04,11,"🌀 Slower Pitch (Spinner friendly, low bounce)"
OUTsurance Oval,Middle,229,216,6.36,8.33,5,"🌀 Slower Pitch (Spinner friendly, low bounce)"
OUTsurance Oval,Powerplay,120,144,5.0,11.11,9,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Punjab Cricket Association IS Bindra Stadium,Death,861,552,9.36,17.75,45,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Punjab Cricket Association IS Bindra Stadium,Middle,1512,1080,8.4,15.37,38,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Punjab Cricket Association IS Bindra Stadium,Powerplay,1008,720,8.4,21.81,21,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Punjab Cricket Association IS Bindra Stadium, Mohali",Death,909,570,9.57,18.77,49,⚖️ Balanced Pitch (Standard bounce & boundaries)
